file_names, EMPH,PRMD,SPAU,CONT,JJ,VBD,THATD,DEMO,PUBV,OSUB,PEAS,TSUB,SMP,THAC,CONC,COND,DEMP,THVC,CONJ,SUAV,PRIV,GER,WZPRES,WHCL,NN,WZPAST,PASTP,PIRE,ANDC,CAUS,TO,SERE,SYNE,RB,FPP1,AMP,PRESP,PIT,NEMD,TPP3,WHSUB,WHOBJ,STPR,BEMA,TIME,XX0,DWNT,POMD,PLACE,EX,PASS,INPR,SPIN,TOBJ,HDG,BYPA,PIN,PHC,VPRT,DPAR,WHQU,SPP2,NOMZ,PROD,PRED, TTR, AWL
nonacademicW2B-039_MAT.txt, 9, 20, 10, 4, 166, 84, 4, 1, 39, 4, 13, 11, 1, 0, 2, 3, 3, 29, 5, 5, 15, 28, 6, 2, 545, 8, 1, 2, 2, 1, 34, 4, 0, 51, 3, 4, 5, 17, 1, 47, 7, 0, 1, 20, 9, 7, 9, 22, 12, 3, 18, 0, 1, 2, 0, 2, 213, 27, 75, 0, 0, 5, 83, 0, 11, 58.25, 5.27869649805
conversationS1A-039_MAT.txt, 37, 12, 6, 98, 62, 106, 6, 19, 25, 5, 11, 1, 0, 3, 0, 1, 16, 4, 1, 3, 42, 9, 3, 4, 453, 0, 2, 1, 43, 7, 39, 1, 3, 82, 102, 10, 1, 60, 3, 76, 1, 0, 12, 50, 10, 39, 4, 5, 8, 11, 13, 0, 0, 2, 2, 0, 133, 16, 159, 9, 5, 26, 10, 9, 23, 38.5, 3.66069745523
conversationS1A-050_MAT.txt, 39, 21, 7, 98, 83, 134, 41, 30, 17, 3, 12, 1, 0, 1, 1, 0, 28, 2, 0, 4, 90, 2, 4, 4, 400, 1, 4, 0, 36, 1, 22, 0, 0, 63, 120, 8, 1, 87, 1, 79, 1, 1, 21, 50, 5, 35, 2, 3, 6, 9, 17, 2, 1, 2, 12, 1, 135, 8, 179, 8, 2, 42, 14, 12, 13, 35.0, 3.61668959193
scripted-brdcastnS2B-009_MAT.txt, 14, 28, 6, 33, 133, 41, 17, 12, 37, 2, 16, 5, 1, 0, 0, 2, 15, 3, 1, 14, 28, 14, 4, 2, 564, 2, 2, 0, 11, 3, 52, 0, 1, 52, 30, 2, 3, 28, 3, 52, 1, 0, 18, 27, 15, 8, 2, 5, 3, 3, 20, 0, 1, 3, 0, 4, 219, 8, 143, 1, 1, 3, 55, 2, 9, 56.25, 4.64997592682
academicW2A-019_MAT.txt, 9, 3, 13, 0, 230, 25, 3, 19, 12, 7, 27, 9, 3, 0, 4, 3, 6, 7, 15, 9, 23, 5, 11, 0, 472, 9, 1, 3, 12, 1, 23, 4, 3, 72, 8, 4, 0, 8, 4, 28, 2, 2, 0, 23, 5, 12, 8, 16, 1, 5, 25, 0, 0, 6, 0, 13, 319, 26, 120, 0, 0, 0, 193, 2, 6, 48.25, 5.30026338894
reportageW2C-020_MAT.txt, 8, 6, 6, 10, 143, 139, 3, 11, 19, 1, 16, 1, 2, 0, 4, 1, 5, 2, 3, 15, 23, 20, 6, 1, 649, 1, 3, 2, 7, 0, 36, 0, 5, 55, 6, 1, 5, 12, 2, 43, 5, 0, 1, 23, 8, 16, 9, 3, 5, 2, 20, 2, 0, 3, 0, 3, 227, 12, 44, 0, 0, 0, 77, 1, 14, 56.25, 4.78557692308
instructionalW2D-001_MAT.txt, 12, 14, 3, 13, 92, 9, 1, 12, 10, 11, 10, 3, 0, 3, 1, 21, 8, 1, 6, 9, 17, 14, 5, 2, 495, 4, 1, 4, 8, 6, 36, 1, 1, 55, 1, 0, 3, 11, 9, 10, 4, 5, 0, 22, 1, 26, 0, 36, 1, 3, 16, 0, 0, 0, 0, 3, 192, 7, 130, 0, 0, 188, 84, 2, 13, 48.5, 4.63233830846
nonacademicW2B-037_MAT.txt, 7, 10, 8, 11, 163, 18, 9, 7, 23, 4, 10, 12, 1, 0, 2, 1, 3, 5, 0, 13, 18, 15, 8, 2, 667, 7, 3, 2, 4, 0, 43, 8, 0, 52, 7, 1, 1, 19, 0, 18, 2, 0, 1, 17, 2, 2, 2, 8, 3, 0, 22, 0, 0, 0, 0, 4, 223, 23, 146, 0, 1, 0, 62, 1, 7, 53.5, 5.04585365854
opinionsocc_2014_17174267_MAT.txt, 12, 4, 1, 14, 63, 12, 1, 3, 2, 0, 8, 2, 4, 0, 1, 3, 5, 2, 0, 1, 11, 3, 1, 0, 209, 1, 1, 0, 5, 1, 19, 1, 4, 28, 5, 0, 4, 15, 1, 5, 2, 0, 0, 10, 3, 8, 2, 4, 1, 1, 2, 0, 1, 0, 0, 1, 85, 3, 43, 0, 0, 5, 20, 2, 2, 61.0, 4.64441591784
brdcastdS1B-034_MAT.txt, 15, 27, 3, 102, 87, 48, 16, 37, 25, 2, 2, 4, 2, 0, 0, 16, 23, 11, 1, 16, 62, 7, 5, 5, 349, 1, 1, 0, 25, 8, 46, 0, 7, 90, 137, 6, 3, 21, 7, 71, 2, 2, 11, 55, 6, 41, 1, 16, 2, 9, 13, 1, 0, 6, 2, 2, 130, 9, 219, 7, 1, 50, 39, 8, 8, 44.75, 3.96363636364
reportageW2C-009_MAT.txt, 14, 10, 5, 15, 124, 86, 4, 15, 23, 3, 17, 1, 1, 0, 2, 11, 2, 7, 1, 16, 25, 12, 4, 2, 626, 4, 2, 0, 9, 3, 48, 2, 1, 49, 7, 2, 3, 28, 3, 51, 6, 0, 0, 34, 1, 20, 4, 6, 4, 1, 21, 2, 1, 3, 0, 3, 214, 22, 93, 0, 0, 3, 63, 1, 13, 57.5, 4.67446300716
academicW2A-023_MAT.txt, 13, 3, 6, 1, 195, 32, 2, 19, 5, 7, 12, 10, 1, 0, 5, 0, 5, 1, 3, 13, 24, 10, 3, 0, 530, 6, 1, 5, 19, 1, 41, 2, 0, 61, 4, 4, 6, 26, 1, 25, 4, 1, 0, 21, 8, 6, 5, 15, 4, 2, 22, 0, 0, 0, 0, 3, 279, 36, 93, 0, 0, 0, 74, 0, 10, 59.5, 5.11263467189
